Running with CUDA on GPU 0	
Loading data from HDF5 to Memory...	
Sorting the data into sets...	
Loading files...	
Loading x_splits	
Loading y_splits	
Loading split_sizes	
Finished loading Torch objects from file	
Network Archtiecture: Skip connections, data vector input method 1	
Epoch 1.28 / 50, i = 378 / 67200, loss = 3.192063	
Epoch 1.28 / 50, i = 379 / 67200, loss = 3.217933	
Epoch 1.28 / 50, i = 380 / 67200, loss = 3.203676	
Epoch 1.28 / 50, i = 381 / 67200, loss = 3.201429	
Epoch 1.28 / 50, i = 382 / 67200, loss = 3.216426	
Epoch 1.28 / 50, i = 383 / 67200, loss = 3.204525	
Epoch 1.29 / 50, i = 384 / 67200, loss = 3.186784	
Epoch 1.29 / 50, i = 385 / 67200, loss = 3.206256	
Epoch 1.29 / 50, i = 386 / 67200, loss = 3.196798	
Epoch 1.29 / 50, i = 387 / 67200, loss = 3.200082	
Epoch 1.29 / 50, i = 388 / 67200, loss = 3.214902	
Epoch 1.29 / 50, i = 389 / 67200, loss = 3.207190	
Epoch 1.29 / 50, i = 390 / 67200, loss = 3.202123	
Epoch 1.29 / 50, i = 391 / 67200, loss = 3.202634	
Epoch 1.29 / 50, i = 392 / 67200, loss = 3.213868	
Epoch 1.29 / 50, i = 393 / 67200, loss = 3.200118	
Epoch 1.29 / 50, i = 394 / 67200, loss = 3.216042	
Epoch 1.29 / 50, i = 395 / 67200, loss = 3.182419	
Epoch 1.29 / 50, i = 396 / 67200, loss = 3.224579	
Epoch 1.30 / 50, i = 397 / 67200, loss = 3.189528	
Epoch 1.30 / 50, i = 398 / 67200, loss = 3.208305	
Epoch 1.30 / 50, i = 399 / 67200, loss = 3.212238	
Epoch 1.30 / 50, i = 400 / 67200, loss = 3.196289	
Epoch 1.30 / 50, i = 401 / 67200, loss = 3.200870	
Epoch 1.30 / 50, i = 402 / 67200, loss = 3.226573	
